mayesh_product_id,mayesh_product_name,ibf_product_id,ibf_product_name,similarity_score
489097,Spray Rose Sun City Yellow,e865e502-c55b-4c46-94c4-495e2c33d348,Spray Roses Sun City Yellow,0.979
489116,Spray Rose Sweet Sensation Pink,d026bdec-0029-4196-95e6-593258c4dd2d,Spray Roses Sweet Sensation Pink,0.977
487010,Rose Mother of Pearl Light Pink,c7115ff9-51a8-4896-b691-56fcf3e2e55d,Roses Mother Of Pearl Light Pink,0.976
487011,Rose Mother of Pearl Light Pink,c7115ff9-51a8-4896-b691-56fcf3e2e55d,Roses Mother Of Pearl Light Pink,0.976
885000,Spray Rose Sahara Sensation Peach,3317161d-b165-4b58-809e-76361ab8aa02,Spray Roses Sahara Sensation Peach,0.976
514165,Tree Fern Green,12f0a153-0e30-492d-bf04-7dcdb3f964cc,Tree Fern Tree Fern Green,0.976
514165,Tree Fern Green,12f0a153-0e30-492d-bf04-7dcdb3f964cc,Tree Fern Tree Fern Green,0.976
487764,Rose Titanic Light Pink,02c7c0f7-2cba-4ac1-a836-f819cc23d1cf,Roses Titanic Light Pink,0.974
487765,Rose Titanic Light Pink,02c7c0f7-2cba-4ac1-a836-f819cc23d1cf,Roses Titanic Light Pink,0.974
487766,Rose Titanic Light Pink,02c7c0f7-2cba-4ac1-a836-f819cc23d1cf,Roses Titanic Light Pink,0.974
3395197,Spray Rose Ginger Light Pink,7b6b7fd7-ef5c-46db-9da2-063a090912de,Spray Roses Ginger Light Pink,0.974
489136,Spray Rose Twinkle Bride Pink,f6769a05-7117-4fd3-ad66-ffb01a2c5c41,Spray Roses Twinkle Bride Pink,0.974
942440,Dianthus Raffine Petit Aimee Light Pink,112f6f17-e4df-4911-a0d4-cbf26faed3a4,Dianthus Raffine Petit Aimee Pink,0.973
1032796,Hypericum Magical Triumph II Red,e452aa13-6e2d-43e9-b5f4-2147175f52a7,Hypericum Magical Triumph Red,0.973
1032797,Hypericum Magical Triumph II Red,e452aa13-6e2d-43e9-b5f4-2147175f52a7,Hypericum Magical Triumph Red,0.973
1032798,Hypericum Magical Triumph II Red,e452aa13-6e2d-43e9-b5f4-2147175f52a7,Hypericum Magical Triumph Red,0.973
487663,Rose Sweet Akito Light Pink,62f613ba-1da6-4a85-a41e-001799eba0d9,Roses Sweet Akito Light Pink,0.973
487664,Rose Sweet Akito Light Pink,62f613ba-1da6-4a85-a41e-001799eba0d9,Roses Sweet Akito Light Pink,0.973
487665,Rose Sweet Akito Light Pink,62f613ba-1da6-4a85-a41e-001799eba0d9,Roses Sweet Akito Light Pink,0.973
485843,Rose Black Magic Dark Red,91e45cb3-ed92-45dd-8031-39eebd5b0669,Roses Black Magic Dark Red,0.972
485844,Rose Black Magic Dark Red,91e45cb3-ed92-45dd-8031-39eebd5b0669,Roses Black Magic Dark Red,0.972
488852,Spray Rose Ilse Peach,db592b1e-d54e-4093-82f5-13db501724f5,Spray Roses Ilse Peach,0.972
489076,Spray Rose Snow Flake White,810e5e94-fb96-4879-90a4-decc97d92094,Spray Roses Snow Flake White,0.972
489077,Spray Rose Snow Flake White,810e5e94-fb96-4879-90a4-decc97d92094,Spray Roses Snow Flake White,0.972
514808,Chrysanthemum Disbud Red,8ea60465-b78c-4643-be8a-beb6ec30c776,Chrysanthemum Disbuds Red,0.971
488709,Spray Rose Babe Orange,41d3582f-d122-4491-b808-a2b12c90927d,Spray Roses Babe Orange,0.971
486066,Rose Chilis Orange,2fb64fb1-c2fd-468e-8917-5adf322fe6f7,Roses Chilis Orange,0.969
486160,Rose Cotton Candy Pink,a3450382-98db-482c-98a8-9e3973436ad3,Roses Cotton Candy Pink,0.969
488267,Rose Garden Keira Blush,4dfc9999-3ef0-446a-93c1-7e3808b056fc,Garden Roses Keira Blush,0.969
488488,Rose Garden Secret Garden Light Pink,e673d850-a421-4b5a-b831-af62a32b1d07,Roses Secret Garden Light Pink,0.969
488489,Rose Garden Secret Garden Light Pink,e673d850-a421-4b5a-b831-af62a32b1d07,Roses Secret Garden Light Pink,0.969
491511,Rose Playa Blanca White,3276d79d-695d-4f45-87c4-d53166e34ef3,Roses Playa Blanca White,0.969
491512,Rose Playa Blanca White,3276d79d-695d-4f45-87c4-d53166e34ef3,Roses Playa Blanca White,0.969
