ibf_product_name,variety_key,name,color_name_cleaned,variety_cleaned
Mini Calla Pink,579a70c9-95ed-495e-a213-1dfeb34cc7b5,Mini Calla Pink pink,Pink,Mini Calla
Dried Products Magic Dry Mixed,8b96a17c-4a02-425f-a8fe-0631b4ac82f7,Dried Products Magic Dry Assorted (The Box Every Florist Needs) mixed,Mixed,Dried Products Magic Dry
Waxflower Pink,c521c8eb-efc0-462c-9ab2-87975ad2f6dd,Waxflower Pink pink,Pink,Waxflower
Stock Purple,3e93f0c4-b325-4a21-ba3e-24062578698e,Stock Purple purple,Purple,Stock
Roses Blessing Light Pink,8fc63555-76cb-4cb7-978b-ed48d199a1c6,Roses Blessing pink - light,Light Pink,Roses Blessing
Lilies La Hybrids Litouwen White,1879fc87-4ab4-45d4-9d21-ef5a501b6a5f,Lilies LA Hybrids Litouwen 3/5 bl white,White,Lilies La Hybrids Litouwen
Chrysanthemum Spray Pom Daisy Managua Red,e9715e8a-afbb-4da7-94de-320275ef2563,Chrysanthemum Spray Pom Daisy Managua Red red,Red,Chrysanthemum Spray Pom Daisy Managua
Asparagus Mingfern Green,7eeb17e7-df8f-479c-aafb-56de5cf856a0,Asparagus Mingfern green,Green,Asparagus Mingfern
Roses Malibu Pink,b797b6da-5a8d-4bd1-9f41-b10d47c765ab,Roses Malibu pink - multiple,Pink,Roses Malibu
Roses High Magic Yellow,99045a66-ba1b-4b2d-bc65-bd25be81801f,Roses High & Magic yellow - multiple,Yellow,Roses High Magic
Ranunculus Elegance Pink,9470db6a-3665-4a56-9ef8-a93d6bcc4583,Ranunculus Elegance Pink pink,Pink,Ranunculus Elegance
Scabiosa Burgundy,bbcab144-6353-408b-babe-f2d026b4dac5,Scabiosa Burgundy burgundy,Burgundy,Scabiosa
Acacia Knifeblade Green,7aabb013-77b8-496b-bae6-4d105f02fb19,Acacia Knifeblade green - multiple,Green,Acacia Knifeblade
Chrysanthemum Spray Pom Novelty Coqueta Green,1701063f-f91a-47aa-b8c8-7f322d7c4668,Chrysanthemum Spray Pom Novelty Coqueta green,Green,Chrysanthemum Spray Pom Novelty Coqueta
Spray Roses Irishka Pink,e94a8bcd-d7d8-4337-89dc-1dd84d8e6617,Spray Roses Purple Irishka pink - multiple,Pink,Spray Roses Irishka
Garden Spray Roses Ginger Light Pink,7b6b7fd7-ef5c-46db-9da2-063a090912de,Garden Spray Roses Ginger pink - light,Light Pink,Garden Spray Roses Ginger
Aster Solidago Red,eca839c0-4102-41e2-8158-315c1df8fb45,Aster Solidago Red (absorption) red,Red,Aster Solidago
Roses Bikini Yellow,8e056093-0612-4aaa-8554-2f2e64e4d42d,Roses Bikini yellow,Yellow,Roses Bikini
Roses Absolute Pink,aed08d76-4782-479f-8426-9f93e180ebbe,Roses Absolute pink,Pink,Roses Absolute
Willow Curly Willow Green,aaa5038d-acf8-4801-935d-fd9bf153bb62,Willow Curly Willow - Tips (Green) green,Green,Willow Curly Willow
Dianthus Raffine Petit Faye Burgundy,97e74c05-db9c-4361-bb6b-08fa3c9d6626,Dianthus Raffine Petit Faye burgundy,Burgundy,Dianthus Raffine Petit Faye
Roses Tiffany Peach,9aa80507-45f2-4226-b8a1-bcd1c07a82b6,Roses Tiffany . peach,Peach,Roses Tiffany
Lysimachia White,e4415abd-7e9c-48aa-9a39-aaf0eb88c677,Lysimachia White white,White,Lysimachia
Roses Pink,debc9221-e6e9-4c60-ac20-dbc6c5bc88c5,Roses Blush pink - multiple,Pink,Roses
Scabiosa Vanilla Scoop White,16bfe1ff-19f0-43eb-bdfc-0d85f0d89ad5,Scabiosa Vanilla Scoop white,White,Scabiosa Vanilla Scoop
Chrysanthemum Spray Pom Button Delirock Purple,3c96bad7-3294-404e-82df-04beffb1fc22,Chrysanthemum Spray Pom Button Delirock purple,Purple,Chrysanthemum Spray Pom Button Delirock
Garden Roses Lemon Pompon Light Yellow,90097bf4-7385-478d-bb7e-1eb6e73a8868,Garden Roses Lemon Pompon yellow - light,Light Yellow,Garden Roses Lemon Pompon
Carnation Nobbio Violet Violet Violet,863702ac-82b2-4f12-a228-18602a64b1ec,Carnation Nobbio Violet violet,Violet,Carnation Nobbio Violet Violet
Larkspur Spire Purple,64933d48-b7dc-41e8-8bab-1f9b28316503,Larkspur Blue Spire purple,Purple,Larkspur Spire
David Austin Garden Roses Eugenie Cream,5e229501-6b4b-48e9-9745-2c906375fba5,David Austin Garden Roses Eugenie *Fragrance* cream,Cream,David Austin Garden Roses Eugenie
Stock Magenta,1a71b8a9-091a-47ba-9c25-145f8ec4e879,Stock Red/ Magenta magenta,Magenta,Stock
Spray Roses Eva Pink,84b24f96-cf34-476f-8ab4-5e117bf9af16,Spray Roses Eva pink,Pink,Spray Roses Eva
Monstera Deliciosa Petite Green,60709d02-d701-4935-aee6-8be5a97f4d59,Monstera Deliciosa Petite (8 inch diameter) green,Green,Monstera Deliciosa Petite
Allium Gladiator Purple,63e4e8d6-737c-4349-ac2a-272c8d04bbd0,Allium Gladiator purple,Purple,Allium Gladiator
Bouquets For Her Mixed,a791e794-bce1-4e19-82bb-8233a9f1dacb,Bouquets For Her mixed,Mixed,Bouquets For Her
Dendrobium Hybrid White,b17aa9f4-ffac-49c1-a6e8-0f8e2bd5c5c7,Dendrobium Hybrid White (stems) white,White,Dendrobium Hybrid
Spray Roses Sweet Sarah Blush,9f8c2559-86f6-4002-bd33-58e0927bb83b,Spray Roses Sweet Sarah blush,Blush,Spray Roses Sweet Sarah
Roses Shukrani Peach,05b0f6d6-0207-4aa4-8ade-4562746d262d,Roses Shukrani peach,Peach,Roses Shukrani
Preserved Roses Frank Red,a13f4a55-7b26-491a-aa84-afbdd543f9c2,Preserved Roses Frank Red red,Red,Preserved Roses Frank
Gerbera Large Flowered Elegance Light Pink,73109a95-4bf4-4374-a147-da8ae966739d,Gerbera Large Flowered Pink Elegance pink - light,Light Pink,Gerbera Large Flowered Elegance
Carnation Ilusion Pink,9af84257-8065-4777-b0cc-99e29b50032f,Carnation Ilusion pink,Pink,Carnation Ilusion
Billy Balls Red,7d19571c-41f5-47fc-b424-602d9504a745,Billy Balls Red (tinted/ dyed) red,Red,Billy Balls
Roses Paloma Pink,ed9472da-9aa2-4d66-afe3-db8ff659b0c7,Roses Paloma pink - multiple,Pink,Roses Paloma
Chrysanthemum Disbuds White,6e6041dd-385d-4573-a291-3f9d4c984925,Chrysanthemum Disbuds/ Mums Cremon Gagarin white,White,Chrysanthemum Disbuds
Roses Butterfly Orange,1533e346-27cc-4d38-9391-4ef67edb77f1,Roses Butterfly orange,Orange,Roses Butterfly
Chrysanthemum Disbuds Purple,29d564d6-2845-4029-8f35-9c854cd0de84,Chrysanthemum Disbuds/ Mums Cremon Andrea purple,Purple,Chrysanthemum Disbuds
David Austin Garden Roses Leonara Ivory,99e7fba8-ec92-48fc-a845-fd2aed2d69b8,David Austin Garden Roses Leonara (Ella) *Fragrance* ivory,Ivory,David Austin Garden Roses Leonara
Garden Roses Charity Blush,b1b38833-0d82-4370-b9d8-41b576b483fa,Garden Roses Charity *Fragrance* blush,Blush,Garden Roses Charity
Garden Roses Vitality White,28838ab2-db64-497b-ac49-afc4b73f086d,Garden Roses Vitality *Fragrance* white,White,Garden Roses Vitality
Gypsophilia Xlence Light Light Blue,f2d53e7d-16e6-4eb3-b1c0-4ec20a490482,Gypsophilia (Babys breath) Xlence Light Blue 250 gr. (tinted/ dyed) 6 st/bu blue - light,Light Blue,Gypsophilia Xlence Light
Eucalyptus True Green,9cd586cb-8bd2-4e9a-9367-21b5da39dbdc,Eucalyptus True Blue-Spiral green,Green,Eucalyptus True
Heliconia Musa Banana Fingers Green,17574b72-fdf4-4a0b-98a5-002cfe70781c,Heliconia Musa Banana Fingers green,Green,Heliconia Musa Banana Fingers
Cymbidium Mini Mixed,5cfb907b-9529-4c62-8875-f4acdfab098d,Cymbidium Mini Assorted mixed,Mixed,Cymbidium Mini
Box Box Delp Seawaltz Veronica Statice Mixed,e9e47b9c-5bd1-44c7-9d8c-242bb9aa2cf9,"Mixed box Assorted box 50 Delp. Seawaltz, 30 Veronica Assorted (bl/wh/pk), 20 Statice (bl/wh) mixed",Mixed,Box Box Delp Seawaltz Veronica Statice
Bouquets Exclusive Line Spring Sweetie Pie Orange,8d8e9e28-0826-4ffe-85e2-8b2eee5e6824,Bouquets Exclusive Line Spring Sweetie Pie orange - multiple,Orange,Bouquets Exclusive Line Spring Sweetie Pie
Gerbera Large Flowered Evi Pink,1ba2da4b-cb0f-4200-bf44-4b60d8a3a5de,Gerbera Large Flowered Evi pink,Pink,Gerbera Large Flowered Evi
Acacia Feather Green,cdffb379-02fc-47d3-a7af-bf3e8aebdee2,Acacia Silver Feather green - multiple,Green,Acacia Feather
Dusty Miller Lacey Silver,e47a4311-9e5e-4762-b94e-408ee36afcf3,Dusty Miller Lacey silver,Silver,Dusty Miller Lacey
Limonium Maine Lavender,6e0a756c-9ada-4f12-a00a-ed638f00fdb3,Limonium Maine Blue lavender,Lavender,Limonium Maine
Sedum Spectabile Green,cad3998d-62d2-4ea0-941d-540c7355ee8d,Sedum Spectabile green,Green,Sedum Spectabile
Spray Roses Chococcino Brown Brown,b4c1a431-5f08-4ebb-9ea8-30b934a6d603,Spray Roses Chococcino brown,Brown,Spray Roses Chococcino Brown
Scabiosa Cherry Vanilla Scoop Purple,e7b1c782-e34d-4e0b-b553-30164147b48c,Scabiosa Cherry Vanilla Scoop purple - multiple,Purple,Scabiosa Cherry Vanilla Scoop
Statice Yellow,40235410-ac07-4419-b641-ca32a2f8fdd2,Statice Yellow yellow,Yellow,Statice
Bouquets Premium Harmony Summer Regular White,781c6969-7c6e-45c6-a936-fffc0408aab5,Bouquets Premium Harmony Summer Regular White white - multiple,White,Bouquets Premium Harmony Summer Regular
Chrysanthemum Spray Pom Daisy Atlantis Pink,a1ca3f69-3350-48f6-8fbe-a3586af73854,Chrysanthemum Spray Pom Daisy Atlantis Pink pink,Pink,Chrysanthemum Spray Pom Daisy Atlantis
Chrysanthemum Spray Pom Cushion White,4a468a7b-8b6b-4a65-b2c4-a8f22ce15b52,Chrysanthemum Spray Pom Cushion White white,White,Chrysanthemum Spray Pom Cushion
Leucadendron Jester Red,ef8425c4-2b2b-4bda-bc91-b957e3cf5762,Leucadendron Jester red - multiple,Red,Leucadendron Jester
Chrysanthemum Disbuds White,491e191a-4b9f-496a-9877-ca084e01bec6,Chrysanthemum Disbuds/ Mums Bombon (ball) Copito white,White,Chrysanthemum Disbuds
Chrysanthemum Spray Pom Daisy Fiction Pink,3bd7c198-45dc-48a7-bd91-fe5d5721e1bd,Chrysanthemum Spray Pom Daisy Fiction pink,Pink,Chrysanthemum Spray Pom Daisy Fiction
Dianthus Solomio Bono Lavender,843b2dec-56d3-4528-8622-5acb63b2db43,Dianthus Solomio Bono Purple lavender - multiple,Lavender,Dianthus Solomio Bono
Asparagus Long Topped Gray Gray Gray,29887257-dfb9-4ab4-b35a-38a8824634b7,Asparagus Long topped gray (tinted/ dyed) gray,Gray,Asparagus Long Topped Gray Gray
Garden Roses Mixed,288269fe-0a8c-4ad6-ba34-256b57ed2e35,Garden Roses Assorted mixed,Mixed,Garden Roses
Berzelia Galpinni Green,6b108d5e-5726-433a-9f43-1249d055ad9d,Berzelia Galpinni green,Green,Berzelia Galpinni
Spray Roses Flash Pink,5e10543a-58cd-4f34-88e1-81534d632816,Spray Roses Pink flash pink - multiple,Pink,Spray Roses Flash
Garden Roses Catalina Yellow,06a5831f-2d31-4a36-969f-15554b8c0434,Garden Roses Catalina yellow,Yellow,Garden Roses Catalina
Palm Umbrella Green,7e5d184a-8ae0-4a7b-b07c-c06e8135dc16,Palm Umbrella green,Green,Palm Umbrella
Lilies La Hybrids Mixed,48a77a2b-9698-48c2-81df-71a9ea35a7e9,Lilies LA Hybrids Assorted 3/5 bl mixed,Mixed,Lilies La Hybrids
Snapdragons Red,5fa6d79e-ea85-4a68-a939-4c8e2cc32ed5,Snapdragons Red red,Red,Snapdragons
Chrysanthemum Spray Pom Novelty Uva Purple,b295d6f1-182f-4808-a916-401e303d3416,Chrysanthemum Spray Pom Novelty Uva purple,Purple,Chrysanthemum Spray Pom Novelty Uva
Garden Roses Keira Blush,4dfc9999-3ef0-446a-93c1-7e3808b056fc,Garden Roses Keira blush,Blush,Garden Roses Keira
Billy Balls Turquoise Turquoise Turquoise,3747bce4-430d-4241-9624-568df829be5a,Billy Balls Turquoise (tinted/ dyed) turquoise,Turquoise,Billy Balls Turquoise Turquoise
Sweetheart Roses Menta Lavender,d5420a00-a786-4ae2-8443-95686eb428cb,Sweetheart Roses Menta lavender,Lavender,Sweetheart Roses Menta
Carnation Golem Purple,c880b3d4-f5e9-4f9f-9039-66d3e923d418,Carnation Golem purple,Purple,Carnation Golem
Lisianthus Double Catalina Rose Pink,23f87d4c-2ead-4dc5-8a25-e0544a60ed3d,Lisianthus Double Catalina rose pink,Pink,Lisianthus Double Catalina Rose
Limonium Pina Colada Fuchsia Fuchsia Fuchsia,fefc9002-c470-4e0e-80a3-9969b785726d,Limonium Pina Colada fuchsia (tinted/ dyed) fuchsia,Fuchsia,Limonium Pina Colada Fuchsia Fuchsia
Spray Roses Belina Collection Pink,669ea37d-3120-4b55-9ab1-7489e9df3f17,Spray Roses Belina Collection pink - multiple,Pink,Spray Roses Belina Collection
Dendrobium Hybrid Jade Siam Light Green,f093ff7b-6aca-440c-ad6b-47a2a18bdab9,Dendrobium Hybrid Jade Siam (Stem) green - light,Light Green,Dendrobium Hybrid Jade Siam
Dendrobium Hybrid Grace Pink,1928bf42-a360-4e87-9289-77f1ecb046b6,Dendrobium Hybrid Grace Pink (stem) pink - multiple,Pink,Dendrobium Hybrid Grace
Hydrangea Rose Jumbo Light Pink,3baf4218-53e7-4c52-917e-b55177777534,Hydrangea Rose Jumbo (20-24 cm) pink - light,Light Pink,Hydrangea Rose Jumbo
Mini Calla Aspen White,b1e601a3-5511-4f38-8cd0-bedde5ded98b,Mini Calla Aspen (or similar color) white,White,Mini Calla Aspen
Spray Roses Garcia Light Pink,3a4aa9e3-f223-403b-8952-40ce6c993493,Spray Roses Cream Garcia pink - light,Light Pink,Spray Roses Garcia
Alstroemeria Perfection Mixed,423cce21-a692-465e-a6e1-5ed732699172,Alstroemeria Perfection Assorted mixed,Mixed,Alstroemeria Perfection
Yarrow Yellow,3b885ab7-cd80-4502-a3e9-248a9a08772f,Yarrow Yellow yellow,Yellow,Yarrow
Spray Roses Ginger Light Pink,7b6b7fd7-ef5c-46db-9da2-063a090912de,Spray Roses Ginger pink - light,Light Pink,Spray Roses Ginger
Roses Yellow,5ee68b19-6916-4dd3-8def-841747402a06,Roses Yellow yellow,Yellow,Roses
Berries Pepperberry Green,1ed5a80e-cb36-4ee9-8ac8-464009e55f7d,Berries Pepperberry - foliage (NO BERRIES) green,Green,Berries Pepperberry
Billy Balls White,13266a2b-722e-455d-863e-f64ec288b51e,Billy Balls White (tinted/ dyed) white,White,Billy Balls
Roses Tinted Rainbow,dd25df7d-ab1a-4a50-aa0a-57b9925df299,Roses tinted/dyed toppings Rainbow Mondial Assorted (Tinted/ Dyed) Rainbow,Rainbow,Roses Tinted
Tulips Single Pink,5a785928-64fe-4d50-90d4-822eac020e69,Tulips Single Pink pink,Pink,Tulips Single
Anemone Pink,1da10f06-1878-4537-8646-a5074c0b5743,Anemone Pink pink,Pink,Anemone
Roses Amsterdam Cream,627b12e6-a245-481d-89e5-4c3d66e9849b,Roses Cream Amsterdam cream,Cream,Roses Amsterdam
Roses Mixed,863b8d1d-a369-4267-9691-c011392f8d34,"Roses Assorted (25 Blizzard, Brighton, High.& Magic, Jessica) mixed",Mixed,Roses
Mini Calla Captain Violetta Pink,f13cc0c5-9aee-46cc-9496-ddbf5efbe5a7,Mini Calla Captain Violetta pink,Pink,Mini Calla Captain Violetta
Stock Spray Mixed,1cdd0e18-f022-4bf4-b588-0e3bfe47b671,Stock Spray Assorted mixed,Mixed,Stock Spray
Gerbera Large Flowered Yellow,988e6bb4-dea5-41fe-8957-3246dae96c5a,Gerbera Large Flowered Yellow yellow,Yellow,Gerbera Large Flowered
Roses Fiesta Pink,97ea8320-2b0a-4a57-aab9-2ad5ed9843d1,Roses Fiesta pink - multiple,Pink,Roses Fiesta
Garden Roses Princess Hitomi Light Pink,04ae416e-dc35-4544-ba77-1c434c7afbcf,Garden Roses Princess Hitomi pink - light,Light Pink,Garden Roses Princess Hitomi
Waxflower White,5d79c163-42db-4b83-a400-5c4b92f87c1b,Waxflower White white,White,Waxflower
Carnation Carnation Easter Mixed,884f56ab-33c6-49a6-8ce5-c295149742a4,Carnation Carnation Easter Assorted mixed,Mixed,Carnation Carnation Easter
Dendrobium Hybrid Splash Lavender,8e5d3970-28d5-4d9b-b4e6-31f6341cc2ac,Dendrobium Hybrid Splash (stem) lavender,Lavender,Dendrobium Hybrid Splash
Dendrobium Hybrid Bom Purple,93d0f502-ff67-4e7d-a442-1641f3aebcb1,Dendrobium Hybrid Pink Bom (stem) purple - multiple,Purple,Dendrobium Hybrid Bom
Roses Queen Berry Dark Pink,303d33c4-b91a-4eca-b870-eba880268e8a,Roses Queen Berry pink - dark,Dark Pink,Roses Queen Berry
Millet Hanging Green,bfcf7297-5364-4ce1-9f09-b05c7e41e6d6,Millet Green Hanging green,Green,Millet Hanging
Bouquets Exclusive Line Spring Sweet Love Mixed,c6e3ce34-a5ca-4101-a2ad-61f4676eaf8b,Bouquets Exclusive Line Spring Sweet Love mixed,Mixed,Bouquets Exclusive Line Spring Sweet Love
Roses Malena Dark Pink,bd65cae9-85c5-463f-b399-52e9120f3c10,Roses Malena pink - dark,Dark Pink,Roses Malena
Garden Roses Salamazar Peach,474e23b3-aec9-4ada-812b-d12c48518341,Garden Roses Salamazar peach,Peach,Garden Roses Salamazar
Rose Petals Fresh Petals White,984a97fe-7074-47b0-a5fa-161d8ba709ba,Rose Petals Fresh Petals White (900 Petals/ Plastic Bag) white,White,Rose Petals Fresh Petals
Chrysanthemum Spray Pom Cdn Mixed,673b68c6-a0cf-4c32-9ab2-be22eda600a0,Chrysanthemum Spray Pom CDN Assorted mixed,Mixed,Chrysanthemum Spray Pom Cdn
Limonium Michigan Lavender,a476e19c-8368-4c8b-9636-3ef88c628ef0,Limonium Michigan lavender,Lavender,Limonium Michigan
Sweet Peas Pink,0888e7da-f7d4-4cf0-b4ed-df1f8ea3725c,Sweet Peas Light pink pink,Pink,Sweet Peas
Roses Sonata White,088498fd-cf19-4baf-8be8-3a6f3af1ea5b,Roses Sonata white - multiple,White,Roses Sonata
Rose Petals Fresh Petals Pink,b6ab07f1-e454-4e2d-86bd-690e9355c53d,Rose Petals Fresh Petals Light Pink & Pink (900 Petals/ Plastic Bag) pink - multiple,Pink,Rose Petals Fresh Petals
Aster Spray Carnival Solidago Estelle Cream,ae83c765-8f00-4eb6-9996-c311b0d62144,Aster Spray Carnival Solidago estelle cream,Cream,Aster Spray Carnival Solidago Estelle
Philodendron Hope Green,5e72ded4-c889-40ae-a47d-6f51b16a8fdb,Philodendron Hope green,Green,Philodendron Hope
Garden Roses Mixed,d73682de-8376-47a5-96c0-de10cdbba219,Garden Roses Assorted (In Bunch) mixed,Mixed,Garden Roses
Roses Seville Orange,329648bd-efdf-4414-bf3e-00b2f64b4f4f,Roses Seville orange - multiple,Orange,Roses Seville
Clematis Pirouette Blue,db1254e7-cba5-4220-9661-200bcabe20a0,Clematis Blue Pirouette blue - multiple,Blue,Clematis Pirouette
Limonium Pina Colada Yellow,719c44ed-ffc1-40bf-84a4-5fbe10120710,Limonium Pina Colada Yellow (tinted/ dyed) yellow,Yellow,Limonium Pina Colada
Carnation Jobim Dark Pink,4d9422de-251a-4d5c-b95c-c05b856d142c,Carnation Jobim pink - dark,Dark Pink,Carnation Jobim
Myrtle Honey Or Snake Vine Green,a6a15e92-1641-4f30-968f-77484750f70e,Myrtle Honey or Snake Vine green,Green,Myrtle Honey Or Snake Vine
Roses Hot Spot Dark Pink,462eaf1f-e613-4304-9570-45191ee16639,Roses Hot Spot pink - dark,Dark Pink,Roses Hot Spot
Box Combo Mini Fiesta Tropical Flower Mixed,a0486322-247f-4f00-9935-92c3a8c95365,Mixed box Combo Mini Fiesta Tropical Flower Assorted mixed,Mixed,Box Combo Mini Fiesta Tropical Flower
Roses Mohana Yellow,8e6c0188-339e-46b6-8cfb-981e2a20eab7,Roses Mohana yellow,Yellow,Roses Mohana
Carnation Light Pink,9f356a84-cfc6-4e69-921c-007dcfffba64,Carnation Light Pink pink - light,Light Pink,Carnation
Spray Roses Misty Bubbles Dark Pink,25ca9735-18e5-4dbd-ad92-95ec87a0fd53,Spray Roses Misty Bubbles (jumbo) pink - dark,Dark Pink,Spray Roses Misty Bubbles
Bouvardia Royal Roza Pink,197daacf-ebe2-4ef2-970d-356a2186f54d,Bouvardia Royal Roza pink - multiple,Pink,Bouvardia Royal Roza
Garden Roses Shine On Orange,dbc8cd0d-3875-479c-b94d-82dc9148dfa2,Garden Roses Shine On (Orange to Yellow Color) orange,Orange,Garden Roses Shine On
Gypsophilia Gypsophilia Xlence Cafe Au Lait Light Brown,09565d6b-b1d0-4ca1-84db-261a6d0676e2,Gypsophilia (Babys breath) Gypsophilia Xlence Cafe Au Lait 250 gr. (tinted/ dyed) 6 st/bu brown - light,Light Brown,Gypsophilia Gypsophilia Xlence Cafe Au Lait
Kale Mixed,7c23e228-086d-4b50-915f-37a116a17d0f,Kale Assorted mixed,Mixed,Kale
Scabiosa Strawberry Red,4b96aa21-cbc6-405b-ac72-d33a4396675d,Scabiosa Strawberry red,Red,Scabiosa Strawberry
Florinca Fireflies Yellow,cc3f5cd8-c5f6-4057-a211-8230ae6641ed,Florinca FireFlies yellow,Yellow,Florinca Fireflies
Roses Senorita Blush,039f0186-7cbf-443d-b903-d354ad62f7c6,Roses Senorita blush,Blush,Roses Senorita
Chrysanthemum Spray Pom Daisy Radiante Yellow,defefbdb-0cb9-4af4-a0e6-68856629bcad,Chrysanthemum Spray Pom Daisy Radiante yellow,Yellow,Chrysanthemum Spray Pom Daisy Radiante
Gerbera Large Flowered Shimmer Pink,67d8580d-e11f-46e8-be39-62815f8d41c5,Gerbera Large Flowered Shimmer pink - multiple,Pink,Gerbera Large Flowered Shimmer
Roses Sandy Cream,ad676667-105d-4e90-82dd-fab04b3ae4e1,Roses Sandy cream,Cream,Roses Sandy
Callas White,3a1cb51b-0f27-4ac9-ba38-1243ba2e897c,Calla's White white,White,Callas
Roses Cappuccino Brown Brown,9b3b3b44-682c-4e97-90bf-6d2214acbba4,Roses Cappuccino brown,Brown,Roses Cappuccino Brown
Mini Calla Cantor Black Black,3f62fe0f-5637-4d37-8055-43f035bc64e1,Mini Calla Cantor black,Black,Mini Calla Cantor Black
Spray Roses Ocean Mikado Light Purple,a82e6bbe-aef0-470d-8b6a-069087f24d75,Spray Roses Ocean Mikado purple - light,Light Purple,Spray Roses Ocean Mikado
Spray Roses Chablis Blush,259855bb-e812-4400-a6d6-f19bcf1e05d1,Spray Roses Chablis blush,Blush,Spray Roses Chablis
Lilies Oriental Firebolt Dark Red,e10487d0-29dc-44d1-80cf-d0af9a8bcc2c,Lilies Oriental Firebolt 3/5 Bl red - dark,Dark Red,Lilies Oriental Firebolt
Ginger Red,06456705-894f-4608-8417-d943b4a83f25,Ginger Red red,Red,Ginger
Dendrobium Hybrid Royal Fuchsia Purple,b3a89e5c-b37f-43e5-baea-1169af954561,Dendrobium Hybrid Royal Fuchsia (Stem) purple - multiple,Purple,Dendrobium Hybrid Royal Fuchsia
Limonium Pina Colada Coral,86923fdb-6d49-47dd-9316-7399e0db31f6,Limonium Pina Colada Coral (tinted/ dyed) coral,Coral,Limonium Pina Colada
Roses Lola Dark Pink,74b99700-190f-4604-9790-6fc28ab478c0,Roses Lola pink - dark,Dark Pink,Roses Lola
Tulips Parrot Rococo Red,5b5ae5db-22ba-4718-b05f-ffa6c1f2c09f,Tulips Parrot Rococo red,Red,Tulips Parrot Rococo
Delphinium Hybrid Benarys Pacific Lavender,60f59ad6-6440-4c70-91c2-53dd58a7dea1,Delphinium Hybrid Benarys Pacific Lavender/ Pink lavender - multiple,Lavender,Delphinium Hybrid Benarys Pacific
Gypsophilia Xlence Orange,d3e6269a-1025-4e2c-ae0c-a777fb870585,Gypsophilia (Babys breath) Xlence Orange 250 gr. (tinted/ dyed) 7 st/bu orange,Orange,Gypsophilia Xlence
Ranunculus Mixed,a70a033e-a2fb-4ce7-bc43-09bd3c3c049b,Ranunculus Assorted mixed,Mixed,Ranunculus
Garden Roses Miyabi Pink,30cafb30-ffdb-4ae2-91c3-b9d9876f2ec2,Garden Roses Miyabi pink - multiple,Pink,Garden Roses Miyabi
Roses Nexus Orange,f632e825-24f7-4c42-a237-e3cd831718d7,Roses Nexus orange,Orange,Roses Nexus
Hypericum Coco Bamboo Green,530bcce3-3862-4ecf-928f-d8789518b83f,Hypericum Coco Bamboo green,Green,Hypericum Coco Bamboo
Marigold African Orange,9017616c-62ef-41f7-b6b2-5df2cdb8882c,Marigold African Orange orange,Orange,Marigold African
Waxflower Hybrid White,79a70f8d-882a-428f-b204-88e0bd992485,Waxflower Hybrid White white,White,Waxflower Hybrid
Sweet Peas Misty Maroon Dark Purple,3d504380-8b95-480f-b735-22b3f0ff1525,Sweet Peas Misty Maroon purple - dark,Dark Purple,Sweet Peas Misty Maroon
Hydrangea Super Select Blue,0c3d49db-390a-4b3e-bbf5-905cdf8e36b6,Hydrangea Blue Super Select (18-19cm) blue,Blue,Hydrangea Super Select
Carnation Nobbio Purple,ad63c87a-9bcf-4a47-9734-0e8b6a1b0fb7,Carnation Nobbio Burgundy purple,Purple,Carnation Nobbio
Garlands Eucalyptus Cupped Seeded Green,8d146ffa-0e66-4ed5-9e38-7554266a5432,Garlands Eucalyptus Cupped Seeded 10ft/ box green,Green,Garlands Eucalyptus Cupped Seeded
Lilies Oriental White,ea06fe3d-fe18-447d-bd8b-5c8cd857316f,Lilies Oriental White 2bl white,White,Lilies Oriental
Box Box Try Out Box Eqr Mixed,85e8056e-6894-4521-a9af-c143ed681cf9,Mixed box Assorted box Try Out Box EQR mixed,Mixed,Box Box Try Out Box Eqr
Roses Favourite Peach,792db66e-be62-49f9-b1fe-9114805b9775,Roses Favourite peach,Peach,Roses Favourite
Sunflower Vincent Yellow,806e6ea5-485f-4092-b7af-1042bc27c5e7,Sunflower Vincent yellow,Yellow,Sunflower Vincent
Chrysanthemum Spray Pom Button Hotrod Red,e004fb3b-6eb7-4ae6-98f1-bde50ff5a18a,Chrysanthemum Spray Pom Button Hotrod red,Red,Chrysanthemum Spray Pom Button Hotrod
Stock Mid Purple,631578b5-bc57-4f55-ad95-80949c06d57e,Stock Mid Blue (Lavender) purple,Purple,Stock Mid
Eucalyptus Bonsai Green,b25e2099-9762-412f-a4f2-a388106b9a77,Eucalyptus Bonsai green,Green,Eucalyptus Bonsai
Billy Balls Blue,bd7a62ab-bb78-43a3-bd0f-d2135e19a40f,Billy Balls Blue (tinted/ dyed) blue,Blue,Billy Balls
Chrysanthemum Spray Pom Daisy Improved Pink,454efa1a-c2f5-417e-9884-f83b0dc352d4,Chrysanthemum Spray Pom Daisy Improved pink,Pink,Chrysanthemum Spray Pom Daisy Improved
Roses Magic Times Pink,8018552c-3f27-49ac-abac-6cf4f9ed3926,Roses Magic Times pink - multiple,Pink,Roses Magic Times
Sweet Peas Misty Lavender,81304222-e93b-421e-aaea-9ac14e7c103e,Sweet Peas Misty Lavender lavender,Lavender,Sweet Peas Misty
Genestra Genista White,eba76fea-7790-4822-80a7-e315e6a20249,Genestra (Dyers Broom) Genista White white,White,Genestra Genista
