ibf_product_name,variety_key,name,color_name_cleaned,variety_cleaned
Roses Sexy Red,a2ba12da-a6dd-4b0e-812b-8f9808d9b27a,Roses Sexy Red red,Red,Roses Sexy
Gypsophilia Xlence White,3b5d1e48-21f2-4563-9c58-e21996f2df0c,Gypsophilia (Babys breath) Xlence (big head size) 250 gr. 7 st/bu white,White,Gypsophilia Xlence
Salal Green,239f9b66-f621-45d5-8eda-50fb91d7c753,Salal Green green,Green,Salal
Roses Nautica Light Pink,18808503-b5c9-444b-8a62-d08df73d950b,Roses Nautica pink - light,Light Pink,Roses Nautica
Gypsophilia Million Star White,d19f261a-68e4-4089-a8af-4e0cd7ade684,Gypsophilia (Babys breath) Million Star (small head size) 250 gr. 10 st/bu white,White,Gypsophilia Million Star
Chrysanthemum Spray Pom Cushion Maissy White,0e34ec47-26d3-471f-a8f1-4259e00bddd6,Chrysanthemum Spray Pom Cushion Maissy white,White,Chrysanthemum Spray Pom Cushion Maissy
Carnation Lizzy Light Pink,4dbb3b94-eb53-459e-9c2a-7e1db70d1805,Carnation Lizzy pink - light,Light Pink,Carnation Lizzy
Roses Carpe Diem Coral,26535ac9-31a0-4816-b127-14d69ec37021,Roses Carpe diem coral,Coral,Roses Carpe Diem
Chrysanthemum Spray Pom Cushion Pink,5ec5c22f-bd2c-4fb9-ad33-72c3df5ddced,Chrysanthemum Spray Pom Cushion Pink pink,Pink,Chrysanthemum Spray Pom Cushion
Spray Roses Mixed,d7ffbf14-996d-4fbe-b265-7cd0b2e7774b,Spray Roses Assorted mixed,Mixed,Spray Roses
Ranunculus Elegance Creme Light Yellow,774642a7-40d3-48c6-80f8-c356e766d298,Ranunculus Elegance Creme yellow - light,Light Yellow,Ranunculus Elegance Creme
Roses Roseberry Raspberry Raspberry,38da837a-b9b8-4ddb-a956-8dd1416f84b5,Roses Roseberry raspberry,Raspberry,Roses Roseberry Raspberry
Eucalyptus Moon Lagoon Green,48c3dca3-36b4-4bc8-a31f-bcb5c46643f4,Eucalyptus Moon Lagoon green,Green,Eucalyptus Moon Lagoon
Dianthus Ball Green,5600b344-6f44-4071-8d2b-0651f4ed50b8,Dianthus Green Ball green,Green,Dianthus Ball
Scabiosa Velvet Burgundy,abbffbc5-777d-4081-9627-23e6f4487960,Scabiosa Red Velvet burgundy,Burgundy,Scabiosa Velvet
Ranunculus Orange,a5584e7d-10a9-41fb-9dc9-5a1e51371704,Ranunculus Orange orange,Orange,Ranunculus
Mini Carnation Pink,761eb3d0-4d87-4597-8c7e-6dee90ff7ef0,Mini Carnation (Spray) Hot Pink pink - multiple,Pink,Mini Carnation
Roses Tibet White,b1b6b639-31e1-46fa-bd71-be74b64a9471,Roses Tibet white,White,Roses Tibet
Spray Roses Princess White,8b105e13-dddc-4552-a304-bf12b4163cf7,Spray Roses Princess white,White,Spray Roses Princess
Anemone Mistral Plus Red,5dbc82bb-f594-4522-8a49-7c673374be62,Anemone Mistral Plus Red red,Red,Anemone Mistral Plus
Aster Solidago Yellow,68f17b17-2f71-48e6-af9c-8a4f5fe850e0,Aster Solidago yellow,Yellow,Aster Solidago
Fern Tree Fern Green,12f0a153-0e30-492d-bf04-7dcdb3f964cc,Fern Tree Fern green,Green,Fern Tree Fern
Sunflower Sunbright Yellow,8574f65c-528a-4cbb-9ea8-4df71ec922fa,Sunflower Sunbright yellow,Yellow,Sunflower Sunbright
