mayesh_product_name,competitor_product_id,stem_length
CB Rose 12 Stem Red/Assorted,1814392,40.0
CB Rose 12 Stem Red/Assorted,1814394,50.0
CB Rose Assorted 10 Stem,3638498,10.0
CB Rose Assorted 10 Stem,3691397,10.0
CB Rose 6st Assorted,3052188,40.0
CB Rose 6st Assorted,3052189,50.0
CB Rose 6st Red,3052190,40.0
CB Rose 6st Red,3052202,50.0
CB Rose 6st Red/Assorted,3052177,40.0
CB Rose 6st Red/Assorted,3052185,50.0
CB Rose Assorted 6 Stem,2937184,60.0
CB Rose One Dozen Assorted,3204730,70.0
CB Rose Pink 12 Stem,4177444,12.0
CB Rose Two Dozen Assorted,3198437,70.0
CB Rose White 12 Stem,4177446,12.0
Chrysanthemum Disbud Ball Green,1091764,
Chrysanthemum Disbud Ball Gustav Purple,3240253,
Chrysanthemum Disbud Ball White,762586,
Chrysanthemum Disbud Ball Yellow,762587,
Chrysanthemum Disbud Creme Brulee Yellow,2025973,
Chrysanthemum Disbud Dark Rossano Lavender,2100085,
Chrysanthemum Disbud Fairytale Light Pink,1999674,
Chrysanthemum Disbud Linette Peach,1812281,
Chrysanthemum Disbud Red,514808,
Chrysanthemum Disbud Resourci Bronze,879899,
Chrysanthemum Disbud Romancero Salmon,1435609,
Chrysanthemum Disbud Tornado Red,762592,
Cocculus Green,514836,
Commodore Teepee Green,514843,
Commodore Teepee Green,514843,
Craspedia Billy Balls Yellow,627846,
Cremons Assorted,490520,
Cremons Purple,485024,
Cremons Rossano Charlotte Pink/Green,988313,
Cremons White,485025,
Cremons Yellow,485026,
Dahlia Assorted,515298,
Dahlia Burgundy,515305,
Dahlia Cafe Au Lait Cream,515349,
Dahlia Orange,515315,
Dahlia Pink,515317,
Dahlia Red,515319,
Dahlia White,515325,
Delphinium Belladonna Assorted,1278421,
Delphinium Belladonna White,513548,
Delphinium Elatum Black Velvet Purple,889280,100.0
Delphinium Elatum Manuela Lavender,3820618,100.0
Delphinium Hybrid Dark Blue,513552,
Delphinium Hybrid Dark Blue,12851921,80.0
Delphinium Hybrid Lavender,513553,
Delphinium Hybrid Lavender,12851932,80.0
Delphinium Hybrid Lilac,4293166,
Delphinium Hybrid White,5562482,70.0
Delphinium Hybrid White,5562438,80.0
Delphinium Sea Waltz Dark Blue,643952,60.0
Delphinium Sea Waltz Dark Blue,643952,60.0
Delphinium Sea Waltz Dark Blue,643954,80.0
Delphinium Sea Waltz Dark Blue,643954,80.0
Delphinium Sea Waltz Dark Blue,643955,90.0
Delphinium Sky Waltz Light Blue,643957,60.0
Delphinium Sky Waltz Light Blue,643957,60.0
