created_at,eta_date,state,competitor,grower_name,grower_country,competitor_product_id,competitor_product_name,competitor_product_group_name,competitor_product_group_id,product_group_key,variety_key,stem_length,color_name,competitor_product_url,competitor_product_image,available_units,stems_per_unit,stem_price,unit_price,base_price,freight_price,margin
2025-03-28,2025-04-08,Kentucky,Mayesh,C.I. Flores De Funza,Colombia,483792,Alstroemeria Pink Select,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Pink,https://www.mayesh.com/alstroemeria-pink-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-pink-2.jpg,20,150,0.78,117.0,0.31,0.29,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,C.I. Flores De Funza,Colombia,483791,Alstroemeria Pink Super Select,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Pink,https://www.mayesh.com/alstroemeria-pink-super-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-pink-2.jpg,20,120,0.95,114.0,0.37,0.36,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,C.I. Flores De Funza,Colombia,1822882,Alstroemeria Pink/White Fancy,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Pink/White,https://www.mayesh.com/alstroemeria-pink-white-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-pink-white.jpg,20,150,0.69,103.5,0.25,0.29,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,C.I. Flores De Funza,Colombia,1822883,Alstroemeria Pink/White Select,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Pink/White,https://www.mayesh.com/alstroemeria-pink-white-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-pink-white.jpg,20,150,0.75,112.5,0.29,0.29,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,C.I. Flores De Funza,Colombia,1822884,Alstroemeria Pink/White Super Select,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Pink/White,https://www.mayesh.com/alstroemeria-pink-white-super-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-pink-white.jpg,20,120,0.92,110.4,0.35,0.36,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,,Colombia,484068,Alstroemeria Primadonna Pink Fancy,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Pink,https://www.mayesh.com/alstroemeria-primadonna-pink-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-primadonna-pink.jpg,20,150,0.74,111.0,0.25,0.34,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,,Colombia,484070,Alstroemeria Primadonna Pink Select,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Pink,https://www.mayesh.com/alstroemeria-primadonna-pink-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-primadonna-pink.jpg,20,150,0.77,115.5,0.27,0.34,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,,Colombia,484069,Alstroemeria Primadonna Pink Super Select,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Pink,https://www.mayesh.com/alstroemeria-primadonna-pink-super-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-primadonna-pink.jpg,20,120,0.92,110.4,0.31,0.42,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,Queens Flowers,Colombia,646524,Alstroemeria Shakira Green Select,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Green,https://www.mayesh.com/alstroemeria-shakira-green-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-shakira-green.jpg,20,100,0.85,85.0,0.37,0.26,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,,Colombia,484108,Alstroemeria Tampa Orange Fancy,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Orange,https://www.mayesh.com/alstroemeria-tampa-orange-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-tampa-orange.jpg,20,150,0.8,120.0,0.29,0.34,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,,Colombia,484110,Alstroemeria Tampa Orange Select,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Orange,https://www.mayesh.com/alstroemeria-tampa-orange-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-tampa-orange.jpg,20,150,0.86,129.0,0.33,0.34,37.5
