competitor,competitor_product_group_name,competitor_product_id,competitor_product_name,created_at,eta_date,grower_country,product_group_key,stem_length,stem_price,unit,variety_key
Flowermarketplace,Anthurium Andreanum,2272526,ANTHURIUM ADINA X24 MEDIUM,2025-04-17,2025-04-29,Holland,,,9.98,Stems,
Flowermarketplace,Anthurium Andreanum,2272528,ANTHURIUM CALISTO X24 MEDIUM,2025-04-17,2025-04-29,Holland,,,8.48,Stems,
Flowermarketplace,Anthurium Andreanum,2272530,ANTHURIUM CANDY X24 MEDIUM,2025-04-17,2025-04-29,Holland,,,8.48,Stems,
Flowermarketplace,Anthurium Andreanum,2272532,ANTHURIUM CHAMPAGNE X24 MEDIUM,2025-04-17,2025-04-29,Holland,,,9.38,Stems,
Flowermarketplace,Anthurium Andreanum,2272534,ANTHURIUM CHEERS X24 MEDIUM,2025-04-17,2025-04-29,Holland,,,9.98,Stems,
Flowermarketplace,Anthurium Andreanum,2272536,ANTHURIUM ENJOY X24 MEDIUM,2025-04-17,2025-04-29,Holland,,,8.48,Stems,
Flowermarketplace,Anthurium Andreanum,2272538,ANTHURIUM EVITA PINK X24 MEDIUM,2025-04-17,2025-04-29,Holland,,,9.98,Stems,
Flowermarketplace,Anthurium Andreanum,2272540,ANTHURIUM FARAO X24 MEDIUM,2025-04-17,2025-04-29,Holland,,,8.98,Stems,
Flowermarketplace,Anthurium Andreanum,2272542,ANTHURIUM GRAND SLAM X24 MEDIUM,2025-04-17,2025-04-29,Holland,,,8.48,Stems,
Flowermarketplace,Anthurium Andreanum,2272544,ANTHURIUM IMPULZ X24 MEDIUM,2025-04-17,2025-04-29,Holland,,,8.13,Stems,
Flowermarketplace,Anthurium Andreanum,2272546,ANTHURIUM LOVELY FANTASY LOVE SMALLØ X40 BOX,2025-04-17,2025-04-29,Holland,,,6.88,Stems,
