ibf_variety,competitor_variety
bd58c382-f5a8-4347-b063-1d77048ffbc7,2163700
a8938fff-8c81-4ed6-b441-fa14497c9e93,2148539
a395d780-0678-4c0d-8813-290e161ffb3d,2157831
17956779-e7b9-48c9-9247-a348e1f7b31e,2148532
a1a3331a-c01c-4f0d-96b6-aafc9c1d6916,2160754
8fa753ab-5273-4115-962a-3e5688f4db42,2161121
5a2208c0-94b1-453b-8c8a-ea07c07f28f0,2158011
5a2208c0-94b1-453b-8c8a-ea07c07f28f0,2158019
5a2208c0-94b1-453b-8c8a-ea07c07f28f0,2158021
a5584e7d-10a9-41fb-9dc9-5a1e51371704,2161145
7ba2b9f4-4ea4-4620-946d-d9228d4adff0,2161313
602c24cc-486e-4a69-bc82-b5599de0423d,2158049
c186749e-78bc-403d-8be0-853db57477c2,2160796
dc12ea85-2be7-4b75-b2ab-4db1fec10907,2160798
988e6bb4-dea5-41fe-8957-3246dae96c5a,2160804
4dfc9999-3ef0-446a-93c1-7e3808b056fc,2158424
7930d085-6b9d-4ed5-9ea4-30b0e9367ffd,2160756
24b9d4a7-3e41-48a8-b10a-37af8341388a,2160762
091560ba-78a3-4c6c-b0f6-3729d9a26b38,2160766
85fa7098-487a-48cb-957e-4b323f1b637d,2161283
ca925719-4595-40e7-98d6-1cb766d6ec9e,2163154
91e45cb3-ed92-45dd-8031-39eebd5b0669,2157825
91e45cb3-ed92-45dd-8031-39eebd5b0669,2157827
91e45cb3-ed92-45dd-8031-39eebd5b0669,2157829
bb8c5298-179b-4c2b-a57a-de0b14efa71b,2157887
bb8c5298-179b-4c2b-a57a-de0b14efa71b,2157889
bb8c5298-179b-4c2b-a57a-de0b14efa71b,2157891
b1b6b639-31e1-46fa-bd71-be74b64a9471,2158193
b1b6b639-31e1-46fa-bd71-be74b64a9471,2158195
9aa80507-45f2-4226-b8a1-bcd1c07a82b6,2158197
9aa80507-45f2-4226-b8a1-bcd1c07a82b6,2158199
12f0a153-0e30-492d-bf04-7dcdb3f964cc,2161325
43355b34-87a9-4a54-b60f-b020e4bf9c7c,2163748
474d4571-5b4c-4efc-921b-6c1e9feae83a,2219838
23e03356-ca36-410e-b955-42c92c8d2ba0,2157913
23e03356-ca36-410e-b955-42c92c8d2ba0,2157915
0328d60c-8301-466a-8291-0772bc6e1ac6,2160708
4fafb74e-eb35-4e44-9685-fab6ac651832,2148540
99e7fba8-ec92-48fc-a845-fd2aed2d69b8,2158426
ba72598d-52ab-497b-b1ab-c8c0c532b55d,2252002
ed9472da-9aa2-4d66-afe3-db8ff659b0c7,2158057
ed9472da-9aa2-4d66-afe3-db8ff659b0c7,2158059
ed9472da-9aa2-4d66-afe3-db8ff659b0c7,2158061
18eb2af1-e3ee-478a-91eb-01923528a330,2158173
18eb2af1-e3ee-478a-91eb-01923528a330,2158175
18eb2af1-e3ee-478a-91eb-01923528a330,2158177
b1fa8e95-3c5e-46ec-b0f2-7f51973be36f,2158418
d24a19f4-a094-4319-8be4-e711959f72db,2157893
d24a19f4-a094-4319-8be4-e711959f72db,2157895
a967f68a-a6ab-497c-a5ad-a6bcc11538ec,2158189
a967f68a-a6ab-497c-a5ad-a6bcc11538ec,2158191
3c93a913-9860-4ea4-9ecb-732a9525bdd8,2161355
0ed220c8-fe58-4f10-aa7f-e31836b5138e,2216106
fdf3447c-076d-41ee-a62c-e3753c348797,2252005
8018552c-3f27-49ac-abac-6cf4f9ed3926,2157979
8018552c-3f27-49ac-abac-6cf4f9ed3926,2157981
17a7647b-c9e3-44da-a4ba-7dca1b38b6ab,2158398
5e15a64f-e19e-4a00-8243-da65e4b743a6,2158462
4f6c9885-69da-4575-879a-8e9b778b3111,2158466
742a9d78-5ad7-423b-9910-555ba5ca1769,2161095
0848dd9c-17d2-4b6f-88f6-16e3cfedce6f,2161133
e865e5d2-b621-4c0d-9bf3-274e831a2c2e,2158013
e865e5d2-b621-4c0d-9bf3-274e831a2c2e,2158015
e865e5d2-b621-4c0d-9bf3-274e831a2c2e,2158017
12e901af-b204-4619-b85e-f9f977a9b9f6,2161331
efe6352a-651c-4f0b-b4c1-3033d25ec988,2157991
efe6352a-651c-4f0b-b4c1-3033d25ec988,2157993
efe6352a-651c-4f0b-b4c1-3033d25ec988,2157995
efe6352a-651c-4f0b-b4c1-3033d25ec988,2157997
3d09da30-61c4-45f5-a4a8-34b938dfedcd,2158101
3d09da30-61c4-45f5-a4a8-34b938dfedcd,2158103
3d09da30-61c4-45f5-a4a8-34b938dfedcd,2158105
835ce0a8-e3c1-49d3-9817-ea99a6597404,2160546
8d2725c3-573c-4818-a924-4fbbaa575d53,2161353
b03853e2-048a-40a1-9d1c-72a9b9dbd432,2163140
1fc16306-f623-47c3-9255-b7582e7cda46,2177248
d19f261a-68e4-4089-a8af-4e0cd7ade684,2148527
c7aedaca-dac0-48fc-ad08-9945e33cbb7b,2157811
c7aedaca-dac0-48fc-ad08-9945e33cbb7b,2157813
31052087-5e26-4a35-a1ad-fbdfacf7b674,2158436
f1054086-f972-40a6-ba8e-79d747fb7deb,2158474
c81473ca-121a-4b7f-b303-09870942635a,2160850
810e5e94-fb96-4879-90a4-decc97d92094,2219612
06a5831f-2d31-4a36-969f-15554b8c0434,2158406
dce8402b-0c6f-425d-964a-dbd363e3c5c3,2160542
7b6fb0c0-643a-436f-b712-cc5ee4ad2b8a,2236624
84b77150-11ac-4312-865f-b5c6e8870fe4,2157859
84b77150-11ac-4312-865f-b5c6e8870fe4,2157861
84b77150-11ac-4312-865f-b5c6e8870fe4,2157863
8f276eef-43a2-4229-adaf-b30b506afbdb,2161341
73ec087c-4d00-4751-a299-3ae08aa01b00,2192252
f7bfae99-ee27-421d-ae8b-f4d85ac82725,2158454
8a888e5d-5b55-41d9-863e-c26cfe3fdd78,2160620
662d86f9-a874-4d93-9bf0-26021fe24294,2160752
1cdd0e18-f022-4bf4-b588-0e3bfe47b671,2161037
ffba9535-08a5-4099-8763-167ef7b25a7e,2161059
e10487d0-29dc-44d1-80cf-d0af9a8bcc2c,2161253
4a76c8c7-a02b-4f15-9fa6-5e7c73c1105b,2161301
c5de60f2-0625-423b-81c6-ca5abf7b9295,2158075
c5de60f2-0625-423b-81c6-ca5abf7b9295,2158077
c5de60f2-0625-423b-81c6-ca5abf7b9295,2158079
039f0186-7cbf-443d-b903-d354ad62f7c6,2158155
039f0186-7cbf-443d-b903-d354ad62f7c6,2158157
039f0186-7cbf-443d-b903-d354ad62f7c6,2158159
2aa7d01b-76f2-4753-b19b-6a35b201771a,2158396
4675ab1b-4a21-47e2-a4b8-6b9403dab9bc,2161203
af43a742-4313-4d2c-82fd-cd8f3415eed6,2163742
6cf94d7e-0d53-4cf4-b734-d3909bda388d,2157837
6cf94d7e-0d53-4cf4-b734-d3909bda388d,2157839
6cf94d7e-0d53-4cf4-b734-d3909bda388d,2157841
547fb017-41f1-4495-b0f5-c87aed848fc2,2158001
8544ebdf-4bee-484b-a4c4-087fff6941a4,2158456
8619e99f-be72-43ba-8c98-d1e692ca152a,2160724
fd255bcc-0237-404e-8021-0cc4befb83a9,2160864
b6e5557e-8267-49cc-94ba-0d24a1643fde,2161199
f29d2388-d0e1-49b7-9471-e66ba45d8770,2158151
4bc3006d-c2c3-4f27-9725-9d5033c6568a,2161269
ae53b478-18f4-40d4-9601-80373ecd38c1,2157865
ae53b478-18f4-40d4-9601-80373ecd38c1,2157867
f778feaf-4a0b-46bb-b961-b067946bcdb8,2157949
f778feaf-4a0b-46bb-b961-b067946bcdb8,2157951
8b09379d-1428-4fd2-8347-76be52f14edb,2160902
13318cc5-9cdf-4821-a8c7-2a5b37c5069c,2161201
bb8a5ea7-0d38-4fa2-ad1c-cb9b2c83f43b,2162199
1928bf42-a360-4e87-9289-77f1ecb046b6,2177215
74b99700-190f-4604-9790-6fc28ab478c0,2157963
74b99700-190f-4604-9790-6fc28ab478c0,2157965
aac3938f-2de1-4f73-945b-ad9dca027473,2160712
4f07eed7-98b8-4c20-9af9-746e64107da5,2160800
2af8351f-e674-41ab-99a9-70cbcbe3e1b9,2161385
8c523fd3-ec0a-469f-9b04-41740c0b654b,2162057
c4dd3be9-14d5-4083-8913-93583acedc39,2163160
2af8351f-e674-41ab-99a9-70cbcbe3e1b9,2163756
c4dd3be9-14d5-4083-8913-93583acedc39,2167303
93b59814-8560-4a3b-aa9d-5d5c07daddcd,2177255
1cf939cc-7ecf-41d1-8030-6c7bef5af2c0,2157999
c55d52c9-04eb-47c3-a945-d4ac99042f4e,2158051
c55d52c9-04eb-47c3-a945-d4ac99042f4e,2158053
239f9b66-f621-45d5-8eda-50fb91d7c753,2161311
5c3eed43-8132-4b96-970f-b1ba6ebbc987,2177162
c7115ff9-51a8-4896-b691-56fcf3e2e55d,2158023
c7115ff9-51a8-4896-b691-56fcf3e2e55d,2158025
c7115ff9-51a8-4896-b691-56fcf3e2e55d,2158027
f5e624fd-f516-49c2-9ea7-b6f14f2a731d,2158037
f5e624fd-f516-49c2-9ea7-b6f14f2a731d,2158039
f5e624fd-f516-49c2-9ea7-b6f14f2a731d,2158041
30f161ca-f066-4432-8b5e-b0f24e4a36e5,2158161
30f161ca-f066-4432-8b5e-b0f24e4a36e5,2158163
30f161ca-f066-4432-8b5e-b0f24e4a36e5,2158165
dcb54dcf-cff2-4cd2-99bf-3ec2be2e2593,2158402
1b6d44bf-5e54-4df7-8586-b8ba170d3001,2162064
d620c33d-54fd-4267-a46c-69122a978838,2162069
9c8fb9d5-8777-419d-9a66-081c8d720bba,2158213
9c8fb9d5-8777-419d-9a66-081c8d720bba,2158215
9c8fb9d5-8777-419d-9a66-081c8d720bba,2158217
9c8fb9d5-8777-419d-9a66-081c8d720bba,2158219
2baa4433-e80d-426e-b5ca-a724403af683,2157953
2baa4433-e80d-426e-b5ca-a724403af683,2157955
0389f65d-9ccc-4b3c-b424-ffa984bd596c,2158414
2bfb011d-b16c-437b-904a-6621f75fa270,2160618
376c4c96-da49-45c5-ba11-061340f647d6,2161969
88141e1c-fac5-46b9-ad4c-29fffe88c64e,2163740
4da4c269-fe26-4e25-82fe-aabf274af006,2160900
00bf6a7a-367a-41b5-81e0-644a4ffd4c98,2161307
627b12e6-a245-481d-89e5-4c3d66e9849b,2157815
627b12e6-a245-481d-89e5-4c3d66e9849b,2157817
0071b7b4-0147-4960-bdb0-ac337f5171e1,2158207
0071b7b4-0147-4960-bdb0-ac337f5171e1,2158209
0071b7b4-0147-4960-bdb0-ac337f5171e1,2158211
40666288-9c1b-4abf-9c57-0004c80f7ec3,2160980
4f96e615-17b3-4d1e-b8ba-1951d585fd2d,2162200
41a167bd-bf87-4f11-8afa-1c9cbb3a3cca,2157875
41a167bd-bf87-4f11-8afa-1c9cbb3a3cca,2157877
41a167bd-bf87-4f11-8afa-1c9cbb3a3cca,2157879
