_KEY,ibf_product_group
ae64f257-727e-4050-8f6b-bbf1de63fc7f,Smilax
2c607d86-8843-4d51-8a3b-0a836164f664,Ivy
d2e0f284-7c08-4e14-a896-72ecf484fa30,Mistletoe
feabfa27-3e63-4602-82af-b3a6a4861083,Nigella
a53c980f-bf0e-436b-948d-5b604cfd9930,Tweedia
dab8888f-bae4-4611-8819-28280167b568,Viburnum
db62e003-3618-401b-98dc-174b0df77f34,Salal
5564fbf5-0dc0-4324-90ef-c50fc990cc66,Ageratum
ca37e70d-60e4-4f5f-98a0-f8a7a4308a05,Safflower
5c9222ce-ead7-474c-88e5-695c07252a0d,Dogwood
7984a977-5ba6-46fd-82fe-99f37c6b3c07,Tulips Fringed
7f230c98-7c4c-47cb-90d1-3c00361231c8,Heather
c0864600-caeb-4d44-8ae3-11569e1d375a,Diosma (breath of heaven)
46fe247c-87a5-4fb9-b6c0-74369693c2ed,Calendula
2bb88959-43a0-4817-8b0b-a917e24acac9,Mokara
8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,Dendrobium
61642357-229e-4cf7-b197-cf52e4978299,Aranthera
026573c9-abea-4eaa-848f-eef174d3fcc0,Oncidium
4b9c45d8-5865-4ccd-8095-216be56a7977,Berzelia
4d13ff4b-7f3a-44dc-9398-408bcf803caa,Tulips French
84cfad67-ca63-4ec7-8e44-3580441dad57,Manzanita
1c236f05-d61f-4024-9f38-078a1f5ffb62,Lilac
34acab87-686f-4348-a1e3-c674a1380eb6,Costus
f387d464-7f75-4ff1-a1c8-5cb5f8a162ae,Rice Flower
c53dc561-0690-4551-82aa-09466a5f5ed5,Huck
b1ef4367-f130-48df-ae2a-4eaf50653424,Daffodils
5a2f74e6-c17b-4204-bda0-b20d6ed4090d,Leptospermum
42bf8b87-fab2-496c-88ec-a2d80c2aac5e,Geum
b2acffd7-6180-4b2e-a7f3-4ff71daeb2a7,Poppies
3c157c83-bb55-49ab-bfda-813514178168,Fern
0b7852ad-da9d-4677-98ac-fe50e0ed2abe,Lamb's Ear
cd8aafdc-7461-46a6-aa90-59f4b45ff65c,Genestra (Dyers Broom)
67102dd4-d3c1-49cb-be5d-97d85dcf0a8a,Clematis
719163b0-86f3-4127-b1c9-8d890af4e8f7,Lily of the valley
3da9072b-0038-4843-9455-c03669260f8d,Snakes head
6bafadee-1060-479f-8e16-d8743650de99,Lilies Longiflorum
b6b67eee-9477-4737-9302-83afb05562d0,Peruvian lily
2d725c76-f1ae-46de-b828-833630a94521,Camellia
d70c7ef5-9d91-4f73-9125-caae0019400b,Hop Bush
d9b10ce5-3ef2-4127-a69c-b38d88ec6517,Boronia
00b2ffa0-43f8-4176-96da-ab027ebfa460,Herbs
b5f61712-7082-4331-9fe6-7a03cc498210,Monstera
2efd16cb-7721-4303-a454-5392bd40eac1,Grasses
bc40be62-1a9a-4614-b993-b3dc939a894e,Vines
3acf7d6a-9220-44bd-8e71-38406c5ad278,Boutonniere
08434d06-1f8f-43fe-9553-0b3116956c71,Arandas
e0f8825a-9e8e-438f-ba0b-1e2cd196a01f,Foxgloves
f52b1857-9754-4b90-a154-a7556aa3c045,Blooming branches
5b5bb673-205d-47fd-b079-b4d4d2794126,Burgly lily
a457ca34-3e66-41ba-8ddc-16e793044ce3,Yarrow
3cd9964f-c427-460e-b6fe-5fc5457e6988,Godetia
c6857541-7426-4f90-b64f-1af4002f66b0,Gardenia
51421091-9deb-46ca-94d2-8d23c499d22a,Joe Pye Weed
ca52870f-816a-41fc-87d7-05df229d972d,Agonis
854e7e1f-6094-4d82-adcc-979bab5b19e3,Saltbush
bae04ec5-38c1-4410-96ca-bb392a42be58,Artichoke
ee659885-dd5f-48dd-ab89-bc989e290c46,Asclepia
f405ca6f-e544-4acd-b0b3-ab2a4acff313,Forget-me-not
eefc9f4d-0ce3-4997-8fa4-589d76066fe0,Ixia
dec31f8d-05ae-40dd-8d32-369bd1f36169,Astrantia
3fb376a4-98b8-4815-9b25-53f3e6f5bcf6,Birch
608c1e23-8f5d-4f81-83ab-c13ef2740211,Scilla
0710e11f-44bf-4a80-a37c-bae43ccb8439,Leucocoryne
fe035b2d-31cf-4ace-8e23-a5f21125b765,Moss
35e15498-9b38-4d61-84e7-8e70229e17d8,Bottle Brush
a2c5a270-0f69-4c94-a034-d84f6aa8628d,Saponaria
,
09ad12b6-e13b-4831-ab26-a9610a2e356f,Wooly Bush
3cdd743c-9824-4d55-963a-b7bfdf555466,Dahlias
0e51295c-2758-4a3e-8b87-05eb5cdd2951,Gladiolus Colvillei
d3952f93-516d-4197-a525-d61331bc0e13,Sandersonia
cf03de94-4214-492a-b206-16d2d9cdab0f,Butterfly Bush
e9fc61d5-188b-4b76-aef1-432a529ccc5b,Hazel
10b20333-d122-4699-b140-96914c6046aa,Aralia
7c6b80d8-ab63-4b26-9e3c-63c4ec632365,Cocculus
fd02f468-0236-44ce-836c-bdd6bd6ea157,Senecio
c8f8f71e-fea0-4af8-afcf-4b33757d6814,Mentha
2e1d7302-05c9-424a-be40-5995489ce486,Banksia
25de2642-9262-4877-a505-70bff5a8ba5a,Brunia
c0273ead-84e5-4c00-a59b-ec5ee57974cd,Stock Spray
f2246d90-1a35-41a2-9d57-10a3fbcdc8f0,Amarcrinum
1628479c-77fd-4490-bac3-b35b0f90540b,Lunaria
000f4c0e-8e87-4771-a907-847c708e2d6d,Photinia
b2d84e73-54e0-4cfe-8501-b1800e6b19ca,Sumac
da7c167c-9db6-48b8-961d-f4e02ac1afab,Jasmine
c1ebf780-5d98-4265-b510-da9aeab241df,Deflexus
ebfb79cc-4ae7-4b53-a8e4-e3c02edfd7ac,Curcuma
9fb29739-66aa-4f57-83ba-729958378d77,Florinca
cf9dbe05-f6ba-4e29-ab06-758bd096452c,Pennycress
d3cc79f1-282f-4f7e-95fd-ebae15a38a6b,Centaurea
b5e2c147-b45e-487d-a472-55b5c08360c9,Agave
db70c30c-f235-47c8-a414-9cbc721f6687,Ligustrum
548a1148-2569-4622-bdc4-96e9cbaf65d7,Burnet
dfe0279c-c792-4f6d-abb1-39426af229b4,Liatris
b04b3288-adfd-4727-abff-6405f2347606,Tuberosa
7db31eeb-d1f8-485e-85ed-c662e7c5c3c8,Sedum
04c41587-99cb-4e1b-ae1e-c30b50b391b4,Cattails
0b60af40-0dca-4c81-9db7-e7099dd6ee64,Ninebark
1a761bf2-f7fa-44e5-9199-decfc0f2f9cb,Snow Berries
9cd8afec-c0b2-4df3-a772-fbb038ff376a,Pine Cones
92cea9e4-37ec-46ff-b3d6-dbcb0ccf79c4,Smoke Bush
b1ca1e25-0ce0-4dec-83c1-91a01dffa02f,Pennycress (Do not use anymore)
1692521f-3547-4454-adf5-3b8bfb414633,Try Out Box
523df0d8-3b48-45e3-b9c8-44de0f9ec856,Dried Products
22074565-0d71-42a6-8c25-d06df697bf06,Stephanotis
c8ea1f61-2b6f-4bf6-8479-4faded71a585,Blue Mist
89aff8fb-4551-421d-ab29-54b548824f1d,Gladiolus Large Flowered
6f369f6b-b858-4a66-a10a-d3f1d9a9c4b2,Pineapple
5db53632-e979-42d3-bdf5-01840474d2c3,Croton
33301339-d0f3-433b-94bb-3aba934deb5f,Spirea
0c1147c9-c2f1-4cfc-b1b6-653fde7bdd32,Foxtail Lily
c6baa702-35b1-4ea5-ac36-d31424ca1592,Sanseveria
85745c88-c9de-43da-9b87-2cf3c5cce0a3,Gentiana
a0fc9ca6-58e3-4aa7-a76a-f6ac3b1e484f,Dried and Preserved Flowers
492eb3d2-f8b1-4886-a180-f9fe5d4fb780,Floral Foam
9beb8093-359b-4711-9a1c-b9ec2494aeef,Dieffenbachia
6f26599c-b963-4bee-b20a-0be8c62c4bef,Schefflera
b2ca966c-9e79-4fe2-a1ee-9963970bb42a,Masajeana
f804fa74-740c-497f-9ad4-56bd909b9f89,Podocarpus
82d3fc77-25a7-4e8b-a438-e1f56b8db9aa,Galax
cf9a69d8-e94b-4d7e-90ed-0773638b6026,Weigela
b7ee816b-ed1d-4670-8dad-51199032e8dc,Alocasia (Elephant ears)
43ac8638-45ec-4063-ab29-eb8e5fde5fd3,Golden Polypody
dc1ceaf7-5976-42e8-b01b-076d2c87a30f,Matricaria (feverfew)
df0cc4d4-b488-4e61-99d5-8410d9ede0bf,Airplants
ea316857-da5a-4938-a20a-4c8230b29752,Kochia
8da21cb6-6ce2-4cdf-a974-2f5d0c69e260,Gerbera Spiders
cb54108f-f27f-491f-8be7-23178b465e83,Pieris
0232243b-1b67-4347-adf9-1977e91ff007,Other Containers
1a50dfb5-b1fd-4f47-83be-c71ed37a6c46,Flower care
42671d6b-c09d-49a6-ab8c-dcea6387b436,Leucothoe
c27c080d-3862-455a-a1e1-c60bf0873167,Forsythia
0f33319e-2f72-44fa-894f-ccdce1f36116,Pistacia
0ba22ea4-6857-4177-8061-a018aebe1163,Aloe Vera (No roots)
c5ee5359-61c3-4ce5-be75-2d37ae49d147,Decorative Accents
7851d1aa-857c-4e1b-b76a-94a5e6a050e1,Wearable flowers
370ff2cb-3644-4c78-a2a7-1a0225850cad,Glass Containers
3ca84c9e-8fe7-4616-b99f-c575db989fef,Tools
6278d067-c71d-4311-869d-5ae588723f00,Consumer Bunch
2937a5ba-56a1-475d-bc34-c86128f859bf,Hebes
e313badc-2c6e-4b1f-a1e8-ebbe20bd43c0,Ptilotus
a96b66f6-fafb-4804-a6ed-07356a137d13,Eleagnus
e8f988ec-9663-49d7-99cc-db57e6240e3d,Strawflower
4b9da7a7-4f4f-4c97-bf88-1bc4a3c6f726,Geranium
6b53fe9a-1bb0-467d-b6cd-90f28603d29d,Bay Leaf
64317c5b-3400-4e52-a1f7-dc8d62e29fcc,Lavender
6ef11896-c551-4772-963f-f732d5c019e2,Copper Beech
8635a569-c48a-4ef7-98ae-1dda090903d3,Saxicola
b2e5f5a7-808e-4b62-91fe-8b7038a36d6c,Quince
214b93b1-dd67-41b0-87eb-bc71769f78dc,Cattleya
5cc4b2b9-adbc-45c4-95ce-d372ea7fc19b,Euonymus
5fffaeeb-eba9-48b9-90ee-e25b9da729ba,Origanum
3d56c2e4-1be4-427d-a415-5873527eaf87,Emerald
a2ab0aeb-36e1-4a54-be3c-a5b6c7895b2c,Nandina
99edf321-cac2-42d7-8650-2da6a054bdf7,Amarine
a55ded07-3273-4c80-99e5-67238b1e5b69,Gladiolus Small Flowered
ce77e974-9c1a-4264-9005-4f15a92f5508,Mossy Branches
040fc290-a59f-4034-9a25-2e3cc2af6d60,Dill
b2e5ea78-51a9-426f-8b40-9d6a5094cd8c,Oak
4d3773a4-cb85-42a6-92fd-ffdac1b1bf57,Rumex
