flower,WebCatKey,cat-key
China Berries,00000487,00000003
Christmas Bush,00000512,00000003
Christmas Carol,00000614,00000003
Cineraria,00000572,00000003
Clematis,00000571,00000003
Columbine,00000597,00000003
Colville,00000318,00000003
Continus,00000491,00000003
Copperbeech,00000322,00000003
Coral Bells,00000599,00000003
Coreopsis,00000457,00000003
Corn Stalk,00000588,00000003
corncockle,00000443,00000003
Cornflower,00000323,00000003
Cosmos,00000324,00000003
Cotinus,00000587,00000003
Cotoneaster,00000499,00000003
Cotton,00000596,00000003
Coxcomb,00000446,00000003
Crab Apple,00000577,00000003
Crabapple,00000580,00000003
Craspedia,00000325,00000003
Crocosmia,00000468,00000003
Cyclamen,00000628,00000003
Cyranthus,00000578,00000003
Cyrtanthus,00000579,00000003
Cytisus,00000629,00000003
Daisy,00000328,00000003
Daisy Gaillardia,00000560,00000003
Daisy Marguerite,00000424,00000003
Dames Rocket,00000622,00000003
Dianthus,00000330,00000003
Dill,00000455,00000003
Diosma,00000331,00000003
Dock,00000542,00000003
Dryandra,00000610,00000003
Dutch Book,00000527,00000003
Echeveria,00000567,00000003
Echinacea,00000475,00000003
Echinops,00000462,00000003
Egg,00000573,00000003
English Lavender,00000471,00000003
Eremurus,00000334,00000003
Erigeron,00000600,00000003
Eriostemon,00000335,00000003
Eryngium,00000584,00000003
Eucharis,00000556,00000003
Eucomis,00000564,00000003
Euonymus,00000603,00000003
Eupatorium,00000549,00000003
Euphorbia,00000336,00000003
Fern,00000658,00000003
Fever Few,00000437,00000003
Flannel Flower,00000666,00000003
Forsythia,00000338,00000003
Foxglove,00000441,00000003
Freesia,00000339,00000003
Fritillaria,00000523,00000003
Gaillardia,00000483,00000003
Gentiana,00000477,00000003
Geranium,00000448,00000003
Gerrondo,00000576,00000003
Geum,00000665,00000003
Geum Mango,00000655,00000003
Ginestra,00000341,00000003
Ginestri,00000342,00000003
Globularia,00000657,00000003
Gloriosa,00000470,00000003
Godetia,00000345,00000003
Gomphrenia,00000346,00000003
Grass,00000347,00000003
Grevillea,00000425,00000003
Heather,00000349,00000003
Helenium,00000494,00000003
Heliopsis,00000463,00000003
Helleborus,00000653,00000003
Hesperis,00000559,00000003
Holly,00000659,00000003
Hosta,00000452,00000003
Hyacinth,00000350,00000003
Ilex,00000506,00000003
Ixia,00000354,00000003
Japanese Lanterns,00000504,00000003
Jasmine,00000538,00000003
Joe Pye Weed,00000486,00000003
Jubilee Crown,00000590,00000003
Kalanchoe,00000660,00000003
Kale/Brassic,00000529,00000003
Kangaroo Paw,00000355,00000003
Kape Green,00000550,00000003
Kiwi Vine,00000488,00000003
Lamb's Ear,00000436,00000003
Lavender,00000428,00000003
Lavertera,00000604,00000003
Leonotis,00000531,00000003
Lepto,00000625,00000003
Leptospurnum,00000358,00000003
Leucocoryne,00000566,00000003
Leycesteria,00000521,00000003
Lilac,00000360,00000003
Lily,00000516,00000003
Lily of the Valley,00000362,00000003
Lindera,00000582,00000003
Liquid Amber,00000719,00000003
Loosestrife,00000561,00000003
Lotus Pods,00000613,00000003
Lunaria,00000427,00000003
Lysimachia,00000367,00000003
Marguerite Daisy,00000540,00000003
Marigold,00000368,00000003
Matsumoto,00000624,00000003
Millet,00000453,00000003
Mini Gerbera,00000517,00000003
Mint,00000449,00000003
Misc.Fillers,00000337,00000003
Monarda,00000371,00000003
Monkshood,00000373,00000003
Montbretia,00000374,00000003
Muscari,00000377,00000003
Mustard,00000711,00000003
Myosotis,00000520,00000003
Nerine,00000378,00000003
Nigella,00000447,00000003
Novelties,00000379,00000003
Oats,00000380,00000003
Okra,00000485,00000003
Orchid,00000661,00000003
Oregano,00000472,00000003
Oriental,00000606,00000003
Ornithagalum,00000513,00000003
Ornithogalum,00000381,00000003
Pagoda,00000667,00000003
Palm Buds,00000382,00000003
Palm Tree,00000618,00000003
Pansy,00000654,00000003
Papaver,00000598,00000003
Paphiopedilum,00000464,00000003
Partygirl,00000601,00000003
Passion Vine,00000627,00000003
Peach,00000592,00000003
Pennycress,00000442,00000003
Penstemon,00000605,00000003
Pepper,00000481,00000003
Pepper Berry,00000384,00000003
Peppermint,00000607,00000003
Persicaria,00000473,00000003
Phlox,00000385,00000003
Phormium,00000617,00000003
Photina,00000490,00000003
Physo-Diablo,00000528,00000003
Physostegia,00000609,00000003
Physostesia,00000386,00000003
Pieris Japonica,00000533,00000003
Pimelia,00000539,00000003
Pincushion,00000476,00000003
Platycodon,00000530,00000003
Plum,00000595,00000003
Pods,00000526,00000003
Poppy,00000456,00000003
Poppy Mix,00000430,00000003
Prince's Feather,00000469,00000003
Privet,00000482,00000003
Privettberry,00000489,00000003
Prunus,00000593,00000003
Pumpkin Tree,00000495,00000003
Pyracanthus,00000501,00000003
Quinine,00000461,00000003
Rice flower,00000390,00000003
Rosehip,00000608,00000003
Rosehips,00000574,00000003
Rosemary,00000429,00000003
Rudbekia,00000395,00000003
Rumex,00000722,00000003
Safflower,00000396,00000003
Sage,00000497,00000003
Salix,00000611,00000003
Salvia,00000397,00000003
Sandersonia,00000505,00000003
Saponaria,00000439,00000003
Saracena,00000438,00000003
Sarracenia,00000662,00000003
Saxicola,00000398,00000003
Scabiosa,00000399,00000003
Scholtzia,00000555,00000003
Scilla,00000400,00000003
Scoparia,00000508,00000003
Sedum,00000401,00000003
Serruria,00000525,00000003
Silene,00000620,00000003
Snowberry,00000498,00000003
Solomon Seal,00000721,00000003
Sorghum,00000480,00000003
Sparaxis,00000616,00000003
Spirea,00000404,00000003
Squill,00000532,00000003
Strawflower,00000407,00000003
Sweet Pea,00000409,00000003
Sweet William,00000451,00000003
Swertia,00000630,00000003
Symphoricarpos,00000615,00000003
Tallowberry,00000507,00000003
Tamarix,00000465,00000003
Tanacetum,00000562,00000003
Tansy,00000410,00000003
Thistle,00000411,00000003
Thyme,00000621,00000003
Toyanberry,00000509,00000003
Trachelium,00000412,00000003
Tricyrtis,00000500,00000003
Tritoma,00000440,00000003
Tuberose,00000413,00000003
Tweedia,00000416,00000003
Verbascum,00000626,00000003
Veronica,00000417,00000003
Viburnum,00000418,00000003
Watsonia,00000522,00000003
Weigelia,00000496,00000003
Wheat,00000450,00000003
Yarrow,00000420,00000003
Yearning Desert,00000589,00000003
Zinnia,00000421,00000003
Peony,00000383,00000003
Pom Pons,00000387,00000003
Ranunculus,00000389,00000003
Roses-Garden,00000570,00000003
Roses-Spray,00000394,00000003
Roses-Standard,00000392,00000003
Roses-Sweetheart,00000422,00000003
Snapdragon,00000403,00000003
Statice,00000405,00000003
Stock,00000406,00000003
Sunflower,00000408,00000003
Sweet Pea,00000409,00000003
Tulips,00000415,00000003
Tulips-French,00000414,00000003
Waxflower,00000419,00000003
